"length","type","comblength","height","probability"
9,"Straight",7,12,0.002055443217686079
9,"Straight",5,11,0.008247720756269658
9,"Single",1,11,0.03933514103602493
9,"Straight",5,12,0.007408121317485353
3,"Single",1,7,0.03257679846657507
3,"Single",1,13,0.08633996573541634
3,"Pair",2,7,0.00931250318049972
12,"Trio",3,11,0.002994612760573434
12,"StraightBomb",5,14,0.00020295968837646036
12,"Pair",2,9,0.012477042578644964
12,"FullHouse",5,11,0.0028850911174117966
11,"Trio",3,2,0.004471402949382224
11,"Pair",2,2,0.014272482698648501
11,"Single",1,15,0.010742010580093482
11,"SquareBomb",4,2,0.0004902804449436574
11,"FullHouse",5,2,0.004083028370593138
11,"Pair",2,14,0.011285508532917859
14,"Trio",3,11,0.002401086032228085
14,"FullHouse",5,11,0.002372127379186051
14,"SquareBomb",4,11,0.0001762340885129504
2,"Pair",2,8,0.011001113137389574
2,"Single",1,8,0.03779930369703716
14,"Trio",3,10,0.0023609576130126948
14,"FullHouse",5,10,0.0023336537401444915
13,"FullHouse",5,14,0.0023530051584445518
13,"Trio",3,14,0.0024640887557942823
13,"SquareBomb",4,14,0.0001596826711902376
13,"Pair",2,5,0.011784118285517245
8,"Pair",2,5,0.011656622046956899
8,"Trio",3,5,0.0016170085556273114
14,"PairSteps",3,10,0.0012619767300675005
10,"Pair",2,9,0.014116676267729531
10,"Single",1,15,0.011466782917373772
10,"Trio",3,9,0.0034392564106556227
10,"Single",1,0,0.012936524000062278
10,"FullHouse",5,9,0.0031387690918432483
9,"Straight",5,6,0.006377619578050313
9,"Single",1,2,0.03480908843224729
9,"Pair",2,12,0.014680942946159991
1,"Single",1,1.5,0.037256544052910734
12,"Single",1,0,0.012797948651964727
12,"PairSteps",2,10,0.004326487847692923
12,"Single",1,15,0.011678989766236393
12,"Pair",2,10,0.012912065608825454
12,"PairSteps",2,14,0.004330317275775497
3,"Single",1,15,0.042372737604532425
3,"Pair",2,5,0.009261615184977864
3,"Single",1,5,0.032865163774532254
8,"PairSteps",2,13,0.0021162000513494975
8,"Single",1,1,0.01238609959084892
8,"Pair",2,8,0.012444028689922696
10,"Trio",3,11,0.003062479565305392
10,"StraightBomb",5,14,0.0001977299973532205
10,"FullHouse",5,11,0.002777561537623192
10,"Pair",2,13,0.015418269006212147
8,"FullHouse",5,6,0.001090640445524834
8,"Trio",3,6,0.0015748132859315965
8,"Straight",5,6,0.0032762123809503374
14,"Straight",7,8,0.005049768547965561
14,"Straight",8,8,0.0011076684788578046
14,"Straight",7,9,0.005225588941435055
14,"Straight",8,11,0.003421258009394601
14,"Straight",9,9,0.0006809420415312591
14,"Straight",6,8,0.00769286618061636
14,"Straight",9,10,0.0020070415033346923
14,"Straight",8,10,0.0033714077566579562
14,"Straight",8,9,0.0032874276628360576
14,"Straight",10,10,0.00038452954289386717
13,"Straight",7,8,0.004436979729557726
13,"Straight",5,6,0.008723533754371024
13,"Straight",6,7,0.006376314199955104
13,"Straight",5,8,0.010918591922833927
13,"Straight",6,8,0.007377223696908405
13,"Straight",7,9,0.005198943780128533
13,"Straight",5,7,0.010160099234680298
13,"Straight",6,9,0.007956362660174448
13,"Straight",8,9,0.002981321755953965
10,"PairSteps",2,10,0.004091609709009948
3,"Pair",2,8,0.011297135005852119
3,"Single",1,6,0.03195766118772581
3,"Single",1,8,0.036461248791410106
14,"PairSteps",2,4,0.00529964035421397
1,"Single",1,12,0.0727093130623376
6,"Pair",2,5,0.012560261009300891
6,"Trio",3,5,0.003343775869625205
6,"Single",1,5,0.03752495657960946
13,"FullHouse",5,5,0.0030304993901973352
13,"PairSteps",2,5,0.004580462709467794
13,"Trio",3,5,0.003110919286195317
13,"Single",1,0,0.012131833087638015
11,"Pair",2,5,0.013191148230008333
11,"Trio",3,5,0.003495371209101779
11,"FullHouse",5,5,0.0032474002681256568
4,"Pair",2,13,0.02957023179181919
4,"SquareBomb",4,13,0.0005580542508453858
4,"Single",1,13,0.07534396736711334
4,"Trio",3,13,0.004783322150103306
10,"Trio",3,7,0.003408117828395273
10,"Pair",2,12,0.013741456351492317
10,"FullHouse",5,7,0.003127870588052126
10,"Single",1,4,0.03549019913123355
8,"Pair",2,4,0.011686659357587746
1,"Single",1,2,0.10524168438231442
8,"Trio",3,12,0.001719278446584722
8,"Straight",6,13,0.0014017411627729015
8,"Straight",5,12,0.0035737247910082597
8,"Straight",5,13,0.003450714852234311
7,"Pair",2,8,0.015445147353803425
7,"Single",1,13,0.04904335750655763
7,"Single",1,8,0.04330607416550944
7,"Pair",2,13,0.02004063158977524
7,"Single",1,3,0.036254693205781
7,"Pair",2,3,0.013282415265133981
14,"Straight",10,12,0.0011628967671593981
14,"Straight",9,11,0.0020802655260266927
14,"Straight",9,12,0.002049031550245642
11,"FullHouse",5,14,0.0016984311025761802
11,"Trio",3,14,0.0018762002246458206
11,"Pair",2,10,0.01392147360411609
11,"Pair",2,7,0.013159444182760245
8,"Pair",2,2,0.011941261323887314
5,"Single",1,13,0.05982199203534046
5,"Single",1,3,0.03972319543881792
5,"Pair",2,3,0.015084978129828303
4,"Single",1,14,0.08780717896932695
4,"Single",1,5,0.03319094091932794
5,"SquareBomb",4,13,0.0006571932191587056
5,"Pair",2,13,0.026662024242160468
5,"Single",1,0,0.016586512306051834
5,"Trio",3,13,0.0043479207015864035
9,"Trio",3,12,0.003123013365014466
9,"FullHouse",5,12,0.002724527980160988
13,"Straight",8,11,0.003565667762845777
13,"Straight",7,10,0.005465660125848459
13,"Straight",8,10,0.003418713420518529
13,"PairSteps",2,6,0.004359452635574059
13,"PairSteps",3,7,0.0009708243560044155
13,"Straight",9,11,0.0021227381181050066
10,"Pair",2,4,0.014062183748773919
10,"FullHouse",5,4,0.0033505114512136264
10,"Pair",2,3,0.014487225396627692
10,"PairSteps",2,4,0.004060471126749599
10,"Trio",3,4,0.0037366298712419622
11,"PairSteps",2,10,0.004179272799739121
13,"Pair",2,2,0.01241474912463811
13,"Straight",9,10,0.0018490790475507225
13,"Straight",9,12,0.002130259403342228
14,"FullHouse",5,7,0.0024478335721387972
14,"Trio",3,7,0.002475964835093916
2,"Pair",2,12,0.015287876275963338
2,"Single",1,12,0.06550931956516591
2,"Single",1,5,0.03567960590199654
14,"FullHouse",5,3,0.002812505752946698
14,"Trio",3,3,0.002861942310639885
